link_id,road_name,max_spd,rd_rank_h,rd_type_h,rest_veh_h,rest_w,rest_h,remark,coordinates
2380051013,장백로,60,시·군도,일반도로,모두통행가능,0,0,,"[126.875250412516, 37.9845143484951]; [126.875499682952, 37.9843158035881]; [126.875638350655, 37.984183438589]; [126.875676421613, 37.9841072987773]; [126.875694718377, 37.983954824659]; [126.875560314765, 37.9824199240094]; [126.875567613747, 37.982222817787]; [126.875645825014, 37.9820585759581]; [126.875738400055, 37.9819845155516]"
2380051211,장백로,60,지방도,일반도로,모두통행가능,0,0,,"[126.885729248137, 37.9879901965482]; [126.885735502958, 37.9879617021064]; [126.885704686242, 37.9876458256003]; [126.88556702812, 37.9861187620081]"
2380051111,장백로,60,지방도,일반도로,모두통행가능,0,0,,"[126.885851059562, 37.988006945075]; [126.885784967835, 37.9883080328448]; [126.885608898045, 37.9886937078878]; [126.885413625853, 37.9888179723905]; [126.885038622548, 37.9889484080897]; [126.88462740991, 37.9890340779078]"
2380051512,원당로,30,지방도,일반도로,모두통행가능,0,0,,"[126.884364916055, 37.977667049901]; [126.884714663, 37.9781840659571]; [126.884963765783, 37.9784720910591]; [126.885001805947, 37.9785078937011]"
2380051612,원당로,30,지방도,일반도로,모두통행가능,0,0,,"[126.884252013222, 37.9777167916744]; [126.884052628819, 37.9775020704804]"
2380052002,장백로,60,지방도,일반도로,모두통행가능,0,0,,"[126.87583394183, 37.9965408106807]; [126.875893543112, 37.9971173669852]; [126.875935306738, 37.9974703409933]"
2380051903,장백로,60,지방도,일반도로,모두통행가능,0,0,,"[126.875711383642, 37.9965487445233]; [126.875685084299, 37.9962943315319]; [126.875685084647, 37.9962126512832]"
2380245702,-,10,시·군도,일반도로,모두통행가능,0,0,도로명없음,"[126.84579789912, 37.9874288044209]; [126.845987528626, 37.9871598393503]"
2380245802,-,10,시·군도,일반도로,모두통행가능,0,0,도로명없음,"[126.845917496551, 37.9874810413351]; [126.845481477753, 37.988128813213]; [126.845336038234, 37.9883873620879]; [126.845275465027, 37.9886780928617]; [126.845262787778, 37.9888132968314]; [126.845234529406, 37.9889074843589]; [126.845179822749, 37.9889895411761]; [126.844855573255, 37.9894301688775]; [126.84470990837, 37.989672934123]; [126.844625400444, 37.9899546091747]; [126.844600195236, 37.990257028957]; [126.844457223002, 37.9905949482463]; [126.844338974715, 37.9907413443092]; [126.844189845752, 37.9907129387264]; [126.843690767306, 37.9904058161312]"
2380051904,장백로,60,지방도,일반도로,모두통행가능,0,0,,"[126.876059278955, 37.9991633848617]; [126.875993920041, 37.9988692686055]; [126.875911987449, 37.9983175981964]; [126.875812813385, 37.9974794168791]"
2380052003,장백로,60,지방도,일반도로,모두통행가능,0,0,,"[126.87618107071, 37.9991464373531]; [126.876186475389, 37.9991707583971]; [126.876394228353, 37.9998933760819]; [126.876601977331, 38.0005970125394]; [126.876754151781, 38.0010177302076]; [126.876931590352, 38.0013681710143]; [126.877262330085, 38.0018240550557]; [126.877522107362, 38.0021199377516]"
2380051014,장백로,60,시·군도,일반도로,모두통행가능,0,0,,"[126.864970044424, 37.9892139135297]; [126.865136862821, 37.9891682368625]; [126.866407099413, 37.9887313828441]; [126.866978288017, 37.988536507549]; [126.867146139074, 37.9884729968702]"
2380050913,장백로,60,시·군도,일반도로,모두통행가능,0,0,,"[126.865017967297, 37.9893235390393]; [126.864610004438, 37.9894352430794]; [126.864432981409, 37.9895009941497]"
2380051212,장백로,60,지방도,일반도로,모두통행가능,0,0,,"[126.881574131058, 37.9909527101446]; [126.881599047347, 37.9904842827142]; [126.881600568307, 37.9904761707695]"
2380051112,장백로,60,지방도,일반도로,모두통행가능,0,0,,"[126.881696841178, 37.9909567982807]; [126.8816815268, 37.9912447032491]; [126.881597092964, 37.9915486678585]; [126.881487083085, 37.9916730271223]"
2380246202,술이홀로,60,시·군도,일반도로,모두통행가능,0,0,,"[126.888985648256, 37.9699844378356]; [126.888986153496, 37.9699838764851]; [126.889525043065, 37.9694157684762]; [126.890063474495, 37.9688982287305]"
