link_id,road_name,max_spd,rd_rank_h,rd_type_h,rest_veh_h,rest_w,rest_h,remark,coordinates
2190131105,자유로,90,일반국도,일반도로,이륜차,0,0,,"[126.680601280224, 37.6802531500453]; [126.680750641184, 37.6800647436969]; [126.681413079821, 37.6792652131886]; [126.682025298266, 37.6786402128077]; [126.682944330214, 37.6777528378322]; [126.683225454384, 37.6774817437229]; [126.683465979327, 37.6772640348008]"
2190131006,자유로,90,일반국도,일반도로,이륜차,0,0,,"[126.680754720711, 37.6803260409889]; [126.680513235568, 37.6806483064879]; [126.680225797937, 37.6810561817496]; [126.680038235421, 37.6814645876627]; [126.679888172221, 37.6818565567437]; [126.679738173192, 37.6824647434715]; [126.679650798222, 37.6830561815663]; [126.679650860948, 37.6833732130371]; [126.679650828763, 37.6836558999891]; [126.679650767137, 37.6838394625462]; [126.679650935843, 37.6838419235998]"
2190179002,자유로,50,일반국도,일반도로,이륜차,0,0,,"[126.679792683286, 37.6883513556209]; [126.679867000105, 37.6882130003298]; [126.679936000897, 37.6880029994543]; [126.679980999372, 37.6877710000927]; [126.680024000463, 37.6874130003987]; [126.680005999505, 37.6868299998166]; [126.67976978893, 37.68535202742]"
2190178901,자유로,60,일반국도,일반도로,이륜차,0,0,,"[126.681396850119, 37.6887899276306]; [126.681563752807, 37.6891049730806]; [126.681732322735, 37.68943007146]; [126.681918953539, 37.6897491493418]; [126.682122000512, 37.6900850004415]; [126.682242999876, 37.690228000196]; [126.682352000202, 37.6903429994855]; [126.682505999992, 37.6904769997319]; [126.682642000172, 37.6905810002771]; [126.682765000105, 37.6906660002023]; [126.682904999694, 37.6907490005009]; [126.683036000238, 37.6908219999667]; [126.683163999628, 37.6908940001527]; [126.683300000111, 37.6909610005623]; [126.683435999427, 37.6910310001521]; [126.683570000102, 37.6910889995632]; [126.683712999893, 37.6911550001768]; [126.684339999663, 37.691422999792]"
2190203202,자유로,50,일반국도,일반도로,이륜차,0,0,,"[126.681279351677, 37.6902963734263]; [126.681137999667, 37.6900310001393]; [126.68101400004, 37.6898139995867]; [126.680877999408, 37.6896299997159]; [126.680773000746, 37.6894950001669]; [126.680653000205, 37.6893770000113]; [126.680522000919, 37.6892800004613]; [126.680377000229, 37.6892070007928]; [126.680222000036, 37.6891620004169]; [126.680062999669, 37.6891529999985]; [126.679912000392, 37.6891779995002]; [126.6797730003, 37.6892349997365]; [126.679658000262, 37.6893150001878]; [126.679567999971, 37.6894119995519]; [126.679508000693, 37.6895219994423]; [126.679485000109, 37.6896399996]; [126.679498000419, 37.6897599995542]; [126.679539999868, 37.6898830001684]; [126.679602000108, 37.6900099995693]; [126.679683000517, 37.6901329997691]; [126.679782999149, 37.6902529999033]; [126.679901999436, 37.6903649995307]; [126.680041999315, 37.6904650000895]; [126.680199999896, 37.6905480001785]; [126.680372999851, 37.6906180000217]; [126.680559999874, 37.6906779997909]; [126.680658042667, 37.690702884045]"
2190213600,제2자유로,80,지방도,일반도로,이륜차,0,0,,"[126.708231456043, 37.6976188206357]; [126.708074999281, 37.6972480000285]; [126.707924999564, 37.6968209998608]; [126.707852000609, 37.6965909997268]; [126.707804999978, 37.6964119995757]; [126.707758999555, 37.6962179997765]; [126.707756000393, 37.6962030001511]; [126.707722999183, 37.6960039997107]; [126.707696000043, 37.6957739999332]; [126.707682999652, 37.6954640004916]; [126.70768806243, 37.6950954806011]"
2190214000,덕산로,50,시·군도,일반도로,모두통행가능,0,0,,"[126.707274897929, 37.6953540759943]; [126.707255548521, 37.6953637438529]; [126.707204391842, 37.6953866817582]; [126.707135579968, 37.6954142131041]; [126.707046860283, 37.6954476810202]; [126.706943797989, 37.6954875876196]; [126.706826641377, 37.6955327748303]; [126.706696236065, 37.6955812751858]; [126.706557547298, 37.6956330568504]; [126.706414048639, 37.6956848065547]; [126.706269267136, 37.6957380566124]; [126.706124860095, 37.6957911812884]; [126.705978766187, 37.6958476189638]; [126.70583186011, 37.6959043697718]; [126.705826484899, 37.6959064006904]"
2190210900,덕산로,50,시·군도,일반도로,모두통행가능,0,0,,"[126.714290865339, 37.6938897254927]; [126.714228000156, 37.6938929992773]; [126.714131999725, 37.6939009996901]; [126.714036000667, 37.6939109992884]; [126.713948000318, 37.6939220002729]; [126.713878000407, 37.6939309996581]; [126.713821000297, 37.6939389998369]; [126.713761000056, 37.6939469999137]; [126.713689999614, 37.6939569995422]; [126.713606000703, 37.693969999336]; [126.713510000627, 37.6939869999688]; [126.71340599974, 37.69400500008]; [126.713293000493, 37.6940260000872]; [126.713172999547, 37.6940499994152]; [126.713048999941, 37.6940729996217]; [126.712929999786, 37.6940950000751]; [126.71282400056, 37.6941160004551]; [126.712727999888, 37.6941359997897]; [126.712636999372, 37.6941560004191]; [126.712549000072, 37.6941760001853]; [126.71246899972, 37.694194000308]; [126.712403999976, 37.6942120000217]; [126.712345999624, 37.6942269994132]; [126.712292000341, 37.694240000268]; [126.712228999468, 37.6942580002568]; [126.712151999287, 37.6942780004387]; [126.712065000367, 37.6943040000652]; [126.711974999648, 37.6943310004849]; [126.711890000694, 37.6943570003619]; [126.711801999667, 37.6943870003705]; [126.711710000187, 37.6944179996283]; [126.711611999593, 37.6944530006777]; [126.711513, 37.6944880001024]; [126.711417999842, 37.6945220001409]; [126.71133899981, 37.6945500000451]; [126.711280999523, 37.6945710002953]; [126.71123400003, 37.6945890001852]; [126.711187000037, 37.6946080001355]; [126.711133999252, 37.6946279998634]; [126.711071000567, 37.6946519997197]; [126.71099900013, 37.694681000408]; [126.710924999539, 37.6947100006538]; [126.710851000198, 37.6947410001159]; [126.710770999839, 37.6947710000489]; [126.710685999809, 37.6948020003551]; [126.710601000034, 37.6948299994581]; [126.710521999854, 37.6948569996327]; [126.710450000307, 37.694881000485]; [126.710374999427, 37.6949050002286]; [126.710295999087, 37.6949320002507]; [126.710208999703, 37.6949630007056]; [126.710115000667, 37.6949970003478]; [126.710017999756, 37.6950319998211]; [126.709920000329, 37.6950659993806]; [126.709816000335, 37.6950980001488]; [126.709709999367, 37.6951270001629]; [126.709600999645, 37.6951530005643]; [126.709487999725, 37.695172000358]; [126.709466198531, 37.69517467762]"
2190202200,제2자유로,40,지방도,일반도로,모두통행가능,0,0,,"[126.707842999263, 37.6913551966717]; [126.707945999815, 37.6921910001583]; [126.708070000928, 37.6937000001275]; [126.708156958538, 37.6951292027927]"
2190179100,자유로,90,일반국도,일반도로,이륜차,0,0,,"[126.679928821267, 37.6853213531537]; [126.679953999859, 37.685412999523]; [126.680503999333, 37.6870879996783]; [126.680915999643, 37.6881630002917]; [126.680926127401, 37.6881874928416]"
