정류소ID,정류소명,위도,경도,POI_대형마트,POI_편의점,POI_어린이집,POI_학교,POI_학원,POI_주차장,POI_주유소,POI_지하철역,POI_은행,POI_문화시설,POI_중개업소,POI_공공기관,POI_관광명소,POI_숙박,POI_음식점,POI_카페,POI_병원,POI_약국
277103312,경마IC(경유),37.4478167,127.0056167,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,1,0,0
220000113,경마장,37.443516699999996,127.0082167,0,0,0,0,0,5,0,1,0,0,0,1,1,1,5,2,0,0
220000049,경마장북문,37.4513667,127.01435,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0
220000050,경마장북문,37.4515,127.0145667,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0
277103202,과천IC(경유),37.4219333,126.9960167,0,0,4,2,6,2,0,0,1,0,10,0,0,0,7,0,0,0
277103203,과천IC(경유),37.42155,126.9965333,0,0,2,1,1,2,0,0,0,0,0,0,0,0,1,1,0,0
220000104,과천고등학교,37.4302667,126.9981833,1,3,5,2,7,0,0,0,3,0,18,0,0,0,13,7,3,2
220000086,과천동주민센터,37.4484167,126.995,0,2,3,0,0,6,0,0,1,0,3,1,0,0,9,4,0,0
220000021,과천성당,37.4389167,126.9945667,0,1,1,1,0,7,0,0,1,1,0,0,0,0,5,2,0,0
220000008,과천성당,37.4387167,126.9943167,0,1,1,1,0,7,0,0,1,1,0,0,0,0,5,2,0,0
220000053,과천시청,37.4287833,126.9886333,0,3,3,0,56,22,0,1,5,5,8,7,1,1,106,26,10,5
220000054,과천시청,37.4286667,126.9888167,0,3,3,0,56,23,0,1,6,5,8,7,1,1,109,27,16,5
220000112,과천여자고등학교.대우증권,37.4301833,126.9902667,0,3,3,1,57,21,1,0,3,5,9,7,0,1,115,28,21,6
220000055,과천여자고등학교.대우증권,37.4309,126.9905167,0,4,3,3,57,17,0,0,2,0,18,4,0,1,109,27,14,5
220000103,과천역.부림동주민센터,37.4336167,126.9976833,1,4,3,1,6,0,0,1,0,0,17,1,0,0,14,4,4,1
220000099,과천역.부림동주민센터,37.4332833,126.9982333,1,4,4,3,6,0,0,1,0,0,17,1,0,0,14,4,4,1
220000003,과천주공2.3단지,37.4216833,126.9886667,1,3,3,1,31,2,0,0,4,0,27,1,0,0,34,11,6,2
220000026,과천주공2.3단지,37.4217167,126.9891333,1,4,3,1,31,2,0,0,4,0,28,1,0,0,36,11,7,3
220000106,과천주공2단지,37.4213833,126.99065,1,5,6,0,34,2,0,0,4,0,41,1,0,0,38,13,8,3
220000056,과천중학교.과천1단지,37.4325667,126.9920333,0,1,3,1,2,4,0,0,1,0,17,2,0,0,10,5,1,0
220000062,과천초등학교.과천11단지,37.4353667,126.9945,0,1,2,1,1,1,0,0,0,0,8,2,0,0,3,3,0,0
220000102,과천초등학교.과천11단지,37.43515,126.9947,0,1,2,1,2,1,0,0,1,0,9,2,0,0,7,4,0,0
277103201,과천터널진입(경유),37.4080167,126.9948833,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
220000020,관문사거리부대앞,37.44955,126.9941667,0,2,3,0,0,2,0,0,1,0,3,1,0,0,7,4,0,0
220000009,관문사거리부대앞,37.4484833,126.9941,0,1,3,0,0,2,0,0,1,0,2,1,0,0,7,2,0,0
220000045,광창교,37.4483167,127.0066667,0,1,0,0,0,6,0,0,1,0,0,0,0,0,3,1,0,0
220000046,광창교,37.4484333,127.0066833,0,1,0,0,0,6,0,0,1,0,0,0,0,0,3,1,0,0
220000059,광창마을,37.44825,127.0091833,0,1,0,0,0,4,0,0,1,1,3,0,0,0,5,3,0,0
220000060,광창마을,37.44835,127.0091,0,1,0,0,0,4,0,0,1,1,3,0,0,0,5,3,0,0
220000048,광창입구,37.4490833,127.0119333,0,10,0,0,0,4,0,0,1,1,3,0,0,0,11,4,0,0
220000047,광창입구,37.4488833,127.0118,0,10,0,0,0,4,0,0,1,1,3,0,0,0,11,4,0,0
220000075,구리안,37.4163833,126.9942833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
220000076,구리안,37.4164833,126.9942167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
220000107,국민은행.과천1단지,37.4334,126.9931167,0,2,3,0,2,3,0,0,1,0,21,2,0,0,9,5,0,0
220000002,남태령부대,37.4575,126.98875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000001,남태령부대,37.45795,126.9889333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
